% Version 1.00
%
%freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S12[dB],Trc4_S22[dB],
1.692295000000000E+010,-3.585776902959979E+001,-1.037608888610427E-001,-1.163375933653217E-001,-3.465133965027567E+001,
1.704290000000000E+010,-3.484500801211441E+001,-8.038842308001419E-002,-1.448122604150559E-001,-3.670944055349646E+001,
1.716285000000000E+010,-3.391506941824973E+001,-1.027779559836884E-001,-1.365410856268547E-001,-3.976918598302186E+001,
1.728280000000000E+010,-3.236039537897423E+001,-1.040695175827395E-001,-1.409783149976626E-001,-4.129080788888901E+001,
1.740275000000000E+010,-2.846725371517103E+001,-1.341867565126947E-001,-1.758388896417726E-001,-4.311830402523679E+001,
1.752270000000000E+010,-2.702782676685629E+001,-1.451890907112401E-001,-1.392052621465058E-001,-4.069280713205099E+001,
1.764265000000000E+010,-2.624994498969026E+001,-1.196086546788907E-001,-1.846723726408071E-001,-3.786999278612996E+001,
1.776260000000000E+010,-2.615521837177475E+001,-1.037481274797832E-001,-1.561212284456930E-001,-3.480326497898992E+001,
1.788255000000000E+010,-2.771152186688713E+001,-8.168126111277321E-002,-1.461366522418522E-001,-3.373424863738279E+001,
1.800250000000000E+010,-3.019979794404665E+001,-9.555247150722651E-002,-1.293616284264144E-001,-3.349194616858341E+001,
1.812245000000000E+010,-3.298361882371913E+001,-1.229860751290643E-001,-1.146404530229083E-001,-3.618076971671935E+001,
1.824240000000000E+010,-3.940506505609415E+001,-1.520811591494952E-001,-1.263193441682647E-001,-3.711659521245110E+001,
1.836235000000000E+010,-4.194561707704400E+001,-1.762989717226909E-001,-1.296518103900619E-001,-4.651842437066693E+001,
1.848230000000000E+010,-3.371516047473644E+001,-1.592036017940763E-001,-1.539218751455326E-001,-4.420467161196062E+001,
1.860225000000000E+010,-3.018819407139950E+001,-1.499361656095341E-001,-1.926810086982524E-001,-4.441984061220899E+001,
1.872220000000000E+010,-2.816822777246301E+001,-1.414525609712131E-001,-1.751552798858789E-001,-4.819518034789066E+001,
1.884215000000000E+010,-2.660133369998864E+001,-1.224452926111370E-001,-2.355300622928815E-001,-5.610834244358251E+001,
1.896210000000000E+010,-2.614803612463682E+001,-1.442593605211792E-001,-2.043394161013766E-001,-4.750143352275976E+001,
1.908205000000000E+010,-2.688034214057545E+001,-1.453529013429974E-001,-2.267756804603024E-001,-4.630423406738039E+001,
1.920200000000000E+010,-2.756226036272702E+001,-2.039093534328177E-001,-2.385660170811884E-001,-4.023164158485479E+001,
1.932195000000000E+010,-3.018279099811873E+001,-2.157334258206196E-001,-2.055909315700172E-001,-3.634720264586137E+001,
1.944190000000000E+010,-3.268321905465948E+001,-1.985028514670115E-001,-2.018196212682784E-001,-3.240174627780531E+001,
1.956185000000000E+010,-3.936021723021018E+001,-1.737810557213123E-001,-1.625125073720281E-001,-3.110948510519550E+001,
1.968180000000000E+010,-3.381218128256438E+001,-1.465960819811084E-001,-1.408038786491738E-001,-3.025647500843752E+001,
1.980175000000000E+010,-2.966747992998961E+001,-1.462606465880766E-001,-1.487637714163252E-001,-3.092719429309014E+001,
1.992170000000000E+010,-2.603796673638674E+001,-1.477387019622302E-001,-1.477583334653552E-001,-3.219293318645032E+001,
2.004165000000000E+010,-2.459761834243922E+001,-1.681780229157203E-001,-1.655067465885547E-001,-3.405465960179085E+001,
2.016160000000000E+010,-2.426981329868724E+001,-1.623352560384934E-001,-1.654949571706069E-001,-3.577869449967837E+001,
2.028155000000000E+010,-2.433544881688381E+001,-1.599112864706090E-001,-1.720960026198008E-001,-3.503909100044090E+001,
2.040150000000000E+010,-2.488158633914564E+001,-1.723683766905788E-001,-1.526733053501306E-001,-3.237457328392656E+001,
2.052145000000000E+010,-2.577841180002975E+001,-1.661562885371262E-001,-1.308987905988329E-001,-3.033601376591697E+001,
2.064140000000000E+010,-2.693805187365842E+001,-1.476619804035665E-001,-1.337232136335589E-001,-2.772733657800245E+001,
2.076135000000000E+010,-2.909012756099903E+001,-1.375621643227633E-001,-1.611861678231618E-001,-2.732685502153990E+001,
2.088130000000000E+010,-2.948583558409214E+001,-1.368415652645078E-001,-1.753347724020301E-001,-2.677160444999736E+001,
2.100125000000000E+010,-2.794539612519666E+001,-1.439182586395957E-001,-1.801341506828851E-001,-2.728270688673664E+001,
2.112120000000000E+010,-2.624247814824133E+001,-1.538639150530708E-001,-1.761453159851505E-001,-2.804258262786603E+001,
2.124115000000000E+010,-2.461089908008430E+001,-1.595898443514087E-001,-1.749057146184373E-001,-2.892789477579928E+001,
2.136110000000000E+010,-2.399022103010395E+001,-1.471289670484421E-001,-1.709635827898903E-001,-3.002756899782685E+001,
2.148105000000000E+010,-2.363815820727552E+001,-1.542932593572137E-001,-1.822709138904469E-001,-2.880552824625480E+001,
2.160100000000000E+010,-2.355695861649392E+001,-1.743676671179081E-001,-1.794202024212555E-001,-2.739259534378415E+001,
2.172095000000000E+010,-2.397207386870847E+001,-1.729587518067180E-001,-2.008500085874188E-001,-2.623122199618990E+001,
2.184090000000000E+010,-2.491377546758148E+001,-1.623098018203801E-001,-1.923978527249065E-001,-2.480821183108430E+001,
2.196085000000000E+010,-2.571099225772345E+001,-1.533973511397973E-001,-1.876605282018510E-001,-2.395439228961456E+001,
2.208080000000000E+010,-2.660907395464128E+001,-1.523355828151748E-001,-1.827301137098567E-001,-2.359139202855253E+001,
2.220075000000000E+010,-2.694270930062735E+001,-1.622821923228366E-001,-1.842404283916659E-001,-2.380576926319461E+001,
2.232070000000000E+010,-2.665243257803693E+001,-1.648080095527867E-001,-1.826421152712722E-001,-2.451635798809811E+001,
2.244065000000000E+010,-2.529706282364946E+001,-1.654394213090590E-001,-1.783341309678106E-001,-2.479322740256338E+001,
2.256060000000000E+010,-2.409710160466354E+001,-1.715005655691882E-001,-1.679088827235360E-001,-2.478483752124541E+001,
2.268055000000000E+010,-2.336258981900825E+001,-1.761295072330364E-001,-1.845025353356734E-001,-2.512662191954125E+001,
2.280050000000000E+010,-2.252190615768135E+001,-1.806206571250990E-001,-1.714615891064951E-001,-2.445721344796717E+001,
2.292045000000000E+010,-2.238302761334972E+001,-1.927220510281804E-001,-1.750199276347995E-001,-2.386794815531081E+001,
2.304040000000000E+010,-2.300358474693159E+001,-1.753290139979883E-001,-1.813249814138272E-001,-2.355199271324659E+001,
2.316035000000000E+010,-2.365769519852063E+001,-1.728857179953973E-001,-1.806843022077973E-001,-2.301182588397515E+001,
2.328030000000000E+010,-2.493981988903154E+001,-1.708958774564651E-001,-1.903024481744964E-001,-2.273098893150880E+001,
2.340025000000000E+010,-2.665078015796185E+001,-1.633112939474062E-001,-2.078263105744581E-001,-2.293646922407131E+001,
2.352020000000000E+010,-2.702533905340568E+001,-1.445594816276246E-001,-1.991096858618249E-001,-2.337596825809612E+001,
2.364015000000000E+010,-2.612050916401708E+001,-1.569002312982600E-001,-2.031280179190824E-001,-2.319650033503972E+001,
2.376010000000000E+010,-2.500183454279550E+001,-1.745376810324279E-001,-1.980223948497487E-001,-2.345957686315055E+001,
2.388005000000000E+010,-2.404665951893528E+001,-1.644175708957627E-001,-1.910481970557274E-001,-2.346301093291674E+001,
2.400000000000000E+010,-2.271964742320374E+001,-1.858709798164424E-001,-1.822602175996018E-001,-2.321431183001185E+001,
