% Version 1.00
%
%freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S12[dB],Trc4_S22[dB],
4.088300000000000E+009,-3.492514777414122E+001,-1.544067921562717E-001,-1.622241314028499E-001,-4.185278871804076E+001,
4.208250000000000E+009,-3.475123053512824E+001,-1.558712204344216E-001,-1.587830202649833E-001,-4.005441149807620E+001,
4.328200000000000E+009,-3.478872089447852E+001,-1.557652551550481E-001,-1.586538978498258E-001,-3.877945779870789E+001,
4.448150000000000E+009,-3.510037240333925E+001,-1.572030588735735E-001,-1.671980525994304E-001,-3.795469170703986E+001,
4.568100000000000E+009,-3.490739971259257E+001,-1.539372399226477E-001,-1.615059354954903E-001,-3.767251195944241E+001,
4.688050000000000E+009,-3.391104127336493E+001,-1.501613645895546E-001,-1.591797281410417E-001,-3.691977229288427E+001,
4.808000000000000E+009,-3.320421487568925E+001,-1.501504320929143E-001,-1.576574061152721E-001,-3.670727525780590E+001,
4.927950000000000E+009,-3.301896970719059E+001,-1.570478708793723E-001,-1.644576563173836E-001,-3.625729183393297E+001,
5.047900000000000E+009,-3.398502491357123E+001,-1.628990021326722E-001,-1.635336660675684E-001,-3.607608831961051E+001,
5.167850000000000E+009,-3.673289337299695E+001,-1.555386627667156E-001,-1.698592480369049E-001,-3.630358544208904E+001,
5.287800000000000E+009,-4.352458634366806E+001,-1.607694648703540E-001,-1.695011611595924E-001,-3.674046985267530E+001,
5.407750000000000E+009,-6.164362780886675E+001,-1.546379821995859E-001,-1.682581981323272E-001,-3.669964677521529E+001,
5.527700000000000E+009,-4.193034769743694E+001,-1.487540577857323E-001,-1.448003505498821E-001,-3.615646270933023E+001,
5.647650000000000E+009,-3.882869247005574E+001,-1.422228971819161E-001,-1.543367310703670E-001,-3.555816651655766E+001,
5.767600000000000E+009,-3.723062053029805E+001,-1.389390030446918E-001,-1.586835531076185E-001,-3.504775808057338E+001,
5.887550000000000E+009,-3.769403575101556E+001,-1.419796666079826E-001,-1.574140828038096E-001,-3.471874125312730E+001,
6.007500000000000E+009,-3.839268294382760E+001,-1.436306421210538E-001,-1.635596391231225E-001,-3.460725488332930E+001,
6.127450000000000E+009,-4.100777033325895E+001,-1.509280661547706E-001,-1.570059330660247E-001,-3.557710729836033E+001,
6.247400000000000E+009,-4.314275380741247E+001,-1.440620443665043E-001,-1.513064534411218E-001,-3.650484297882467E+001,
6.367350000000000E+009,-4.661109177182081E+001,-1.440172410367206E-001,-1.468772435939234E-001,-3.673671451506485E+001,
6.487300000000000E+009,-4.681671129968066E+001,-1.425646107734395E-001,-1.481107055209109E-001,-3.798699768016793E+001,
6.607250000000000E+009,-4.593807267143751E+001,-1.382436801895935E-001,-1.458180404413587E-001,-3.755235301309500E+001,
6.727200000000000E+009,-3.879857596140245E+001,-1.370741093883560E-001,-1.434825990466399E-001,-3.744371899200019E+001,
6.847150000000000E+009,-3.474627272667880E+001,-1.456710175531875E-001,-1.539596119174339E-001,-3.710312499946875E+001,
6.967100000000000E+009,-3.155562392141842E+001,-1.493866762594083E-001,-1.665047266762530E-001,-3.534474385644121E+001,
7.087050000000000E+009,-2.982856816915843E+001,-1.562738561736366E-001,-1.652280925824571E-001,-3.449947356287233E+001,
7.207000000000000E+009,-2.862326339758052E+001,-1.508370569308853E-001,-1.749877223531945E-001,-3.405560435679821E+001,
7.326950000000000E+009,-2.894050239544722E+001,-1.566405985946913E-001,-1.586080316297558E-001,-3.378171362181892E+001,
7.446900000000000E+009,-2.985794357981037E+001,-1.551799536284154E-001,-1.520941178803890E-001,-3.405944366610630E+001,
7.566850000000000E+009,-3.156251538364936E+001,-1.535128355021879E-001,-1.649219174827672E-001,-3.305490465667861E+001,
7.686800000000000E+009,-3.305402095811832E+001,-1.540421708904991E-001,-1.716832069479845E-001,-3.329878204865872E+001,
7.806750000000000E+009,-3.245339797481158E+001,-1.596511887804983E-001,-1.727075180966256E-001,-3.283434288928362E+001,
7.926700000000000E+009,-3.136875817083179E+001,-1.637386978061265E-001,-1.699676363303581E-001,-3.245340076651163E+001,
8.046650000000000E+009,-3.071695220267869E+001,-1.672496338752974E-001,-1.710990838545973E-001,-3.190466303613641E+001,
8.166600000000000E+009,-3.175067615784637E+001,-1.586460815309509E-001,-1.639014372205400E-001,-3.188763425649656E+001,
8.286550000000000E+009,-3.495169601268360E+001,-1.604762221571364E-001,-1.705981322805703E-001,-3.218465351228957E+001,
8.406500000000000E+009,-4.403150951717618E+001,-1.602467171930171E-001,-1.664142340620994E-001,-3.330139060198221E+001,
8.526450000000000E+009,-4.517264552263389E+001,-1.666025389066151E-001,-1.622399360628865E-001,-3.552790842092319E+001,
8.646400000000000E+009,-3.764470528324586E+001,-1.620178652776159E-001,-1.647839011476791E-001,-4.111502281837284E+001,
8.766350000000000E+009,-3.545441616492569E+001,-1.791019642619186E-001,-1.775537557847680E-001,-4.945120198594469E+001,
8.886300000000000E+009,-3.794576087743990E+001,-1.710666296285187E-001,-1.845215745159554E-001,-3.915497320772652E+001,
9.006250000000000E+009,-4.202502781394184E+001,-1.620761275713469E-001,-1.732769004280137E-001,-3.323656211459139E+001,
9.126200000000000E+009,-3.397744727592603E+001,-1.563249413116251E-001,-1.514733412277594E-001,-2.984633019655206E+001,
9.246150000000000E+009,-2.870084787436042E+001,-1.478824908502634E-001,-1.328943112267000E-001,-2.744451086000143E+001,
9.366100000000000E+009,-2.570365631123558E+001,-1.495065370962144E-001,-1.438568400352154E-001,-2.585829427515286E+001,
9.486050000000000E+009,-2.463438665737725E+001,-1.611577754374181E-001,-1.840601726954817E-001,-2.469782593630261E+001,
9.606000000000000E+009,-2.462397890445363E+001,-1.672964466808467E-001,-1.917143341309172E-001,-2.418592431028721E+001,
9.725950000000000E+009,-2.520481562465090E+001,-1.779404599831531E-001,-1.860866053582845E-001,-2.407263281284513E+001,
9.845900000000000E+009,-2.564365107983462E+001,-1.837850317173235E-001,-1.799223788955793E-001,-2.425783800767747E+001,
9.965850000000000E+009,-2.552372441176012E+001,-1.890059640417296E-001,-1.826827636425621E-001,-2.506420416175536E+001,
1.008580000000000E+010,-2.497976349332654E+001,-1.862129504438947E-001,-2.030683723791924E-001,-2.626592264965147E+001,
1.020575000000000E+010,-2.483379084784040E+001,-1.806244932708142E-001,-2.062678460479615E-001,-2.832419166600747E+001,
1.032570000000000E+010,-2.607708333179279E+001,-1.692315617147525E-001,-1.892591723469820E-001,-3.117213948597003E+001,
1.044565000000000E+010,-2.899531393248277E+001,-1.672006017434547E-001,-1.768095279660289E-001,-3.604869477174716E+001,
1.056560000000000E+010,-3.344834738908554E+001,-1.678264825065262E-001,-1.653755408204870E-001,-5.140540646962008E+001,
1.068555000000000E+010,-3.357765657635735E+001,-1.608090767129421E-001,-1.810963669283529E-001,-3.919707279595914E+001,
1.080550000000000E+010,-2.990849050632393E+001,-1.673144316818162E-001,-1.929017717760758E-001,-3.259946270896210E+001,
1.092545000000000E+010,-2.786273340641668E+001,-1.817580923347420E-001,-1.931966254891735E-001,-2.893172673358423E+001,
1.104540000000000E+010,-2.673806620942695E+001,-1.808736783489245E-001,-1.853253330833985E-001,-2.678174055828662E+001,
1.116535000000000E+010,-2.610950313177395E+001,-1.831465143258043E-001,-1.881702492406162E-001,-2.551375897043624E+001,
1.128530000000000E+010,-2.483011455570206E+001,-1.890527965699552E-001,-1.898792027474983E-001,-2.450520759950693E+001,
1.140525000000000E+010,-2.310144781430549E+001,-1.946975756205489E-001,-1.959700816171430E-001,-2.392852860069458E+001,
1.152520000000000E+010,-2.192846870864801E+001,-2.088810471891448E-001,-1.837877484538100E-001,-2.359527494423692E+001,
1.164515000000000E+010,-2.155654613647260E+001,-2.147723512410829E-001,-1.809680612752993E-001,-2.354184538531671E+001,
1.176510000000000E+010,-2.196574869282700E+001,-2.081883260525852E-001,-1.985277648582958E-001,-2.391805868657647E+001,
1.188505000000000E+010,-2.343641000154851E+001,-2.015083967032649E-001,-2.213753684604443E-001,-2.453778276847290E+001,
1.200500000000000E+010,-2.614295648234459E+001,-1.854013483474316E-001,-2.172413655888281E-001,-2.561509816080628E+001,
1.212495000000000E+010,-3.021274170826881E+001,-1.675689652626444E-001,-1.935370113268062E-001,-2.712044085368688E+001,
1.224490000000000E+010,-3.240175394266490E+001,-1.545005459614785E-001,-1.637248441861552E-001,-2.959647410223587E+001,
1.236485000000000E+010,-3.182951410668809E+001,-1.536645238167870E-001,-1.640463520793704E-001,-3.298780591930962E+001,
1.248480000000000E+010,-3.374640598261531E+001,-1.445963152663786E-001,-1.598197788357662E-001,-3.647933610513761E+001,
1.260475000000000E+010,-4.175012254521795E+001,-1.546900105721018E-001,-1.933103570661603E-001,-3.695154152848726E+001,
1.272470000000000E+010,-3.989870706365154E+001,-1.636053649996232E-001,-1.901414276677784E-001,-3.342045522813429E+001,
1.284465000000000E+010,-3.045317038545085E+001,-1.728121349207655E-001,-1.859278530609756E-001,-3.023231412999370E+001,
