% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
1.798800000000000E+009,1.060745654612086E+003,8.044882873057789E+003,4.266055226325989E-001,5.340737104415894E-001,
1.810350000000000E+009,3.739036656174113E+003,2.924657024469148E+003,4.477919936180115E-001,5.264039635658264E-001,
1.821900000000000E+009,2.352172453614933E+003,-2.896905227533739E+002,4.697661399841309E-001,5.102702379226685E-001,
1.833450000000000E+009,4.327343328604651E+003,-5.733439075902701E+003,4.792289733886719E-001,4.987818598747253E-001,
1.845000000000000E+009,-1.635224282547354E+003,-9.608800201773045E+003,5.004159212112427E-001,4.694398939609528E-001,
1.856550000000000E+009,-1.975625432902277E+003,-1.279106338028772E+003,5.130388736724854E-001,4.450345039367676E-001,
1.868100000000000E+009,-4.890147058787810E+003,1.233615762580269E+003,5.278912782669067E-001,4.283486008644104E-001,
1.879650000000000E+009,-1.632073472746069E+003,2.891093264531680E+003,5.257151126861572E-001,4.087504446506500E-001,
1.891200000000000E+009,4.015121100204691E+003,1.438449637819671E+004,5.425814986228943E-001,3.912994563579559E-001,
1.902750000000000E+009,4.730903711907389E+003,2.714512093500489E+003,5.492066144943237E-001,3.707885146141052E-001,
1.914300000000000E+009,2.070449867513208E+003,-5.466222830498339E+002,5.616527199745178E-001,3.674503862857819E-001,
1.925850000000000E+009,1.491161342933198E+003,-2.615646910227025E+003,5.841388702392578E-001,3.461744487285614E-001,
1.937400000000000E+009,-6.680680478567573E+002,-2.234764082571839E+003,5.981709361076355E-001,3.245016932487488E-001,
1.948950000000000E+009,-2.419180314170276E+003,-1.205814738944357E+003,6.051323413848877E-001,2.979008853435516E-001,
1.960500000000000E+009,-2.844824236545842E+003,1.081410171719114E+003,6.079926490783691E-001,2.620548307895660E-001,
1.972050000000000E+009,-2.487556081588570E+003,6.063832994524214E+003,6.027273535728455E-001,2.467765361070633E-001,
1.983600000000000E+009,1.559774941837715E+003,3.556856111988576E+003,6.027370095252991E-001,2.251786589622498E-001,
1.995150000000000E+009,2.243055133650819E+003,8.910319056082245E+002,6.062376499176025E-001,2.116564065217972E-001,
2.006700000000000E+009,8.617852860701270E+003,-3.647108947512343E+003,6.125404834747315E-001,2.049189060926437E-001,
2.018250000000000E+009,9.329964641193920E+002,-2.286905452298093E+003,6.238183975219727E-001,1.855598986148834E-001,
2.029800000000000E+009,-1.315397106445983E+003,-2.996763927341557E+003,6.408602595329285E-001,1.639745980501175E-001,
2.041350000000000E+009,-1.986852046590424E+003,-6.982400690909299E+002,6.432682275772095E-001,1.329153031110764E-001,
2.052900000000000E+009,-1.745206855157981E+003,9.418950479556031E+002,6.526980996131897E-001,1.039300635457039E-001,
2.064450000000000E+009,-7.554103078700109E+002,2.926297071178336E+003,6.403407454490662E-001,7.328061014413834E-002,
2.076000000000000E+009,2.235816904293574E+003,3.644990151017978E+003,6.306560635566711E-001,5.505542084574699E-002,
2.087550000000000E+009,4.612369069655829E+003,1.184957522892335E+003,6.224623322486877E-001,4.427185282111168E-002,
2.099100000000000E+009,1.954992701685974E+003,-1.090326426809534E+003,6.234601140022278E-001,3.409389778971672E-002,
2.110650000000000E+009,5.565496186999685E+002,-1.845172572479814E+003,6.275871992111206E-001,1.511908322572708E-002,
2.122200000000000E+009,-2.153355538187331E+003,-3.890269934477673E+003,6.311801671981812E-001,1.790347741916776E-003,
2.133750000000000E+009,-6.994578180410368E+003,-1.714286746530102E+003,6.428509950637817E-001,-3.426053375005722E-002,
2.145300000000000E+009,-2.088322482427209E+003,1.446794060684689E+003,6.285757422447205E-001,-6.784496456384659E-002,
2.156850000000000E+009,-2.187778329993095E+002,1.882586893293196E+003,6.201671957969666E-001,-8.539121598005295E-002,
2.168400000000000E+009,1.121451555616515E+003,1.292682487969954E+003,6.074768900871277E-001,-1.079618334770203E-001,
2.179950000000000E+009,9.885005248547574E+003,6.295094727030084E+002,5.941461920738220E-001,-1.164704114198685E-001,
2.191500000000000E+009,2.754729207372781E+003,-2.316528834850534E+003,5.854190587997437E-001,-1.240794137120247E-001,
2.203050000000000E+009,9.439692115454172E+002,-7.978811471175399E+003,5.930156707763672E-001,-1.368674039840698E-001,
2.214600000000000E+009,-4.988385927587318E+003,-6.592147560003483E+003,6.026282906532288E-001,-1.496389806270599E-001,
2.226150000000000E+009,-4.099677993967141E+003,-5.326036580266020E+002,5.987554788589478E-001,-1.826087236404419E-001,
2.237700000000000E+009,-1.541916187713675E+003,1.292530847950142E+003,5.934936404228210E-001,-2.156013548374176E-001,
2.249250000000000E+009,-1.105919158197238E+002,3.861295242265750E+003,5.711694359779358E-001,-2.402699291706085E-001,
2.260800000000000E+009,7.366128133779598E+003,7.091335231932673E+003,5.467653870582581E-001,-2.597822546958923E-001,
2.272350000000000E+009,2.731140105270277E+003,-1.038720748966104E+002,5.290018916130066E-001,-2.653381824493408E-001,
2.283900000000000E+009,2.542692815791107E+003,-2.679383045435653E+003,5.245952010154724E-001,-2.646303772926331E-001,
2.295450000000000E+009,2.411356756245004E+001,-3.099314340695659E+003,5.237985253334045E-001,-2.688892781734467E-001,
2.307000000000000E+009,-3.740934440465583E+003,-3.937247811075602E+003,5.219480395317078E-001,-2.894332110881805E-001,
2.318550000000000E+009,-5.191827566434961E+003,-6.374912750462305E+001,5.259103775024414E-001,-3.132707476615906E-001,
2.330100000000000E+009,-1.799065101649026E+003,1.932336069795606E+003,5.052614808082581E-001,-3.432069122791290E-001,
2.341650000000000E+009,2.233646300575271E+002,2.249116879958665E+003,4.880376160144806E-001,-3.652220070362091E-001,
2.353200000000000E+009,2.357595136472481E+003,1.708587648045756E+003,4.589421749114990E-001,-3.784901797771454E-001,
2.364750000000000E+009,1.963993904170469E+003,-3.663203928828212E+002,4.398278892040253E-001,-3.856502771377564E-001,
2.376300000000000E+009,1.494933758102824E+003,-2.108833468650303E+003,4.231984317302704E-001,-3.817453384399414E-001,
2.387850000000000E+009,-1.322128742998385E+003,-1.000423039399560E+004,4.192099571228027E-001,-3.905790150165558E-001,
2.399400000000000E+009,-4.426960075005944E+003,-3.631966798317782E+003,4.192373454570770E-001,-4.013195633888245E-001,
2.410950000000000E+009,-1.336656032189600E+004,1.275396020679076E+003,4.171819686889648E-001,-4.243974685668945E-001,
2.422500000000000E+009,-1.850257840082544E+003,2.397919486623680E+003,4.004085958003998E-001,-4.465131759643555E-001,
2.434050000000000E+009,5.611887937407236E+002,2.900595502118947E+003,3.714019358158112E-001,-4.666616022586823E-001,
2.445600000000000E+009,2.373131577727189E+003,1.373666246965070E+003,3.457932770252228E-001,-4.720811843872070E-001,
2.457150000000000E+009,2.437825669029370E+003,-7.706217126523777E+002,3.210779428482056E-001,-4.730620682239533E-001,
2.468700000000000E+009,2.420027065636740E+003,-4.731074319898665E+003,3.025278747081757E-001,-4.693247973918915E-001,
2.480250000000000E+009,-5.043582540410714E+002,-1.712367746887537E+003,3.008726835250855E-001,-4.645822644233704E-001,
2.491800000000000E+009,-1.039724717563890E+004,-6.149145158849062E+003,3.001422882080078E-001,-4.790416657924652E-001,
2.503350000000000E+009,-2.281925680654147E+003,5.952041749152677E+002,2.893403768539429E-001,-4.943816959857941E-001,
2.514900000000000E+009,-1.079745973751785E+003,1.955639024815217E+003,2.734107971191406E-001,-5.184242725372315E-001,
2.526450000000000E+009,1.320946539750875E+003,3.750821358281824E+003,2.440591752529144E-001,-5.328229665756226E-001,
2.538000000000000E+009,4.742156937959200E+003,1.893502615691016E+003,2.162396907806397E-001,-5.395687818527222E-001,
2.549550000000000E+009,1.531152021149015E+003,-7.366313270945149E+002,1.847993135452271E-001,-5.338373780250549E-001,
2.561100000000000E+009,3.965974900718284E+002,-1.168897119834090E+003,1.704321354627609E-001,-5.264000892639160E-001,
2.572650000000000E+009,-5.761375918487465E+002,-1.211128230606679E+003,1.595344990491867E-001,-5.244566202163696E-001,
2.584200000000000E+009,-2.322737544110878E+003,-8.960451361335718E+002,1.537047177553177E-001,-5.222038626670837E-001,
2.595750000000000E+009,-8.551378572362290E+003,3.566959024273966E+003,1.473705917596817E-001,-5.340892672538757E-001,
2.607300000000000E+009,-1.066090594453115E+003,2.740234458054156E+003,1.326635032892227E-001,-5.474027395248413E-001,
2.618850000000000E+009,6.882376972653900E+002,1.367762503943580E+003,1.053123399615288E-001,-5.551553964614868E-001,
2.630400000000000E+009,2.483553321073925E+003,6.536090609486487E+002,7.455551624298096E-002,-5.614013075828552E-001,
2.641950000000000E+009,6.931587970498982E+003,-4.526699015177872E+003,4.842406138777733E-002,-5.500981807708740E-001,
2.653500000000000E+009,1.162733090250385E+003,-5.781982754376234E+003,3.119124844670296E-002,-5.410713553428650E-001,
2.665050000000000E+009,-9.322902330687579E+002,-1.462111545519226E+003,2.461571618914604E-002,-5.306132435798645E-001,
2.676600000000000E+009,-1.605533054711517E+003,-4.166684428609520E+002,1.910267584025860E-002,-5.323064923286438E-001,
2.688150000000000E+009,-2.606293850754428E+003,1.447875420658945E+003,9.847254492342472E-003,-5.363537073135376E-001,
2.699700000000000E+009,-5.502298841834605E+002,1.968841139326128E+003,-4.748626146465540E-003,-5.476000905036926E-001,
2.711250000000000E+009,3.254087861168167E+003,5.198983406590097E+003,-3.593383356928825E-002,-5.584034323692322E-001,
2.722800000000000E+009,2.612313005718374E+003,4.182450832982378E+002,-6.588350236415863E-002,-5.530406832695007E-001,
2.734350000000000E+009,1.933562839213131E+003,-1.595610332696406E+003,-9.145909547805786E-002,-5.427131652832031E-001,
2.745900000000000E+009,1.291220180499356E+002,-1.990003861145780E+003,-1.068364381790161E-001,-5.240209102630615E-001,
2.757450000000000E+009,-2.374120596938652E+003,-2.739690669657778E+003,-1.145024225115776E-001,-5.085285305976868E-001,
2.769000000000000E+009,-2.867869587189568E+003,-3.039126521111000E+002,-1.172996237874031E-001,-5.017511248588562E-001,
2.780550000000000E+009,-2.158949436003396E+003,1.633758184708241E+003,-1.178461611270905E-001,-5.034487247467041E-001,
2.792100000000000E+009,-2.399486456247123E+002,1.642541919780960E+003,-1.350224465131760E-001,-5.120323896408081E-001,
2.803650000000000E+009,1.995077856127833E+003,2.534175570981532E+003,-1.552455425262451E-001,-5.189558863639832E-001,
2.815200000000000E+009,4.395850306475276E+003,2.803418047523319E+002,-1.858316361904144E-001,-5.163049101829529E-001,
2.826750000000000E+009,7.580850158524339E+002,-7.506404331802755E+002,-2.190174907445908E-001,-4.988399744033814E-001,
