% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
1.937400000000000E+009,-7.365858521146366E+002,-2.252756616548960E+003,5.817381143569946E-001,3.122634887695313E-001,
1.948950000000000E+009,-2.495072568580510E+003,-1.147985212045611E+003,5.948449373245239E-001,2.868170142173767E-001,
1.960500000000000E+009,-2.826715164650543E+003,1.183042733948061E+003,5.969937443733215E-001,2.567528188228607E-001,
1.972050000000000E+009,-2.285382889205670E+003,6.114230819791212E+003,5.949557423591614E-001,2.328533679246903E-001,
1.983600000000000E+009,1.631375039211516E+003,3.515679453061221E+003,5.922626852989197E-001,2.149813175201416E-001,
1.995150000000000E+009,2.258869216961217E+003,8.518530711256974E+002,5.916488170623779E-001,1.996214538812637E-001,
2.006700000000000E+009,8.577200194299305E+003,-3.781399515766505E+003,5.953294038772583E-001,1.884687244892120E-001,
2.018250000000000E+009,8.916815413939379E+002,-2.322232469643679E+003,6.092613935470581E-001,1.720636188983917E-001,
2.029800000000000E+009,-1.401901515823444E+003,-2.990821121328009E+003,6.168087720870972E-001,1.546105891466141E-001,
2.041350000000000E+009,-2.024776042227875E+003,-6.401805535254342E+002,6.287970542907715E-001,1.296684294939041E-001,
2.052900000000000E+009,-1.715696941777246E+003,1.013787755888349E+003,6.336066722869873E-001,9.718219190835953E-002,
2.064450000000000E+009,-6.657092774539600E+002,2.949225110376480E+003,6.295406222343445E-001,7.042546570301056E-002,
2.076000000000000E+009,2.325438376550542E+003,3.565685934169460E+003,6.151654720306397E-001,4.599022492766380E-002,
2.087550000000000E+009,4.643088896562532E+003,1.073066978791241E+003,6.117541790008545E-001,2.895882166922092E-002,
2.099100000000000E+009,1.941665118217136E+003,-1.135333133472189E+003,6.059310436248779E-001,1.691460981965065E-002,
2.110650000000000E+009,5.224375087238640E+002,-1.875687788610691E+003,6.085732579231262E-001,2.228053752332926E-003,
2.122200000000000E+009,-2.276707818825762E+003,-3.867548012026728E+003,6.154863238334656E-001,-1.310919411480427E-002,
2.133750000000000E+009,-7.099313390455461E+003,-1.523393122878406E+003,6.227036714553833E-001,-3.607518598437309E-002,
