% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
2.734350000000000E+009,1.858597982893979E+003,-1.541655751075003E+003,-9.770824015140533E-002,-5.166360139846802E-001,
2.745900000000000E+009,1.254590720039007E+002,-1.943371893735976E+003,-1.054138690233231E-001,-5.022932887077332E-001,
2.757450000000000E+009,-2.349587950520727E+003,-2.697128648609377E+003,-1.079557985067368E-001,-4.950477182865143E-001,
2.769000000000000E+009,-2.845633106302818E+003,-2.598834278878520E+002,-1.149226427078247E-001,-4.964832663536072E-001,
2.780550000000000E+009,-2.097345957944099E+003,1.667005354017539E+003,-1.204210519790649E-001,-5.009537935256958E-001,
2.792100000000000E+009,-1.846175051217548E+002,1.621616127100187E+003,-1.479383260011673E-001,-5.103273391723633E-001,
2.803650000000000E+009,2.018448092164458E+003,2.395203231158296E+003,-1.746498048305512E-001,-5.073877573013306E-001,
2.815200000000000E+009,4.240797946645065E+003,1.697352424473012E+002,-2.023945003747940E-001,-4.936115145683289E-001,
2.826750000000000E+009,7.201646802911027E+002,-7.322853217013362E+002,-2.250467836856842E-001,-4.706592857837677E-001,
2.838300000000000E+009,-1.125750671812784E+003,-3.139417136537650E+004,-2.269911766052246E-001,-4.506017267704010E-001,
2.849850000000000E+009,-1.470068153864487E+003,-1.366203517320313E+003,-2.313269078731537E-001,-4.368252754211426E-001,
2.861400000000000E+009,-2.915025405398899E+003,6.356233433705068E+001,-2.340735644102097E-001,-4.356212615966797E-001,
2.872950000000000E+009,-1.346609099462474E+003,1.368179392264208E+003,-2.427029460668564E-001,-4.362994134426117E-001,
2.884500000000000E+009,1.965018225525302E+001,1.628904331746265E+003,-2.581425607204437E-001,-4.382315874099731E-001,
2.896050000000000E+009,1.790873651348430E+003,1.627925975680366E+003,-2.839384675025940E-001,-4.405059516429901E-001,
2.907600000000000E+009,2.349628303820097E+003,-2.336026268133275E+002,-3.101325631141663E-001,-4.209488928318024E-001,
2.919150000000000E+009,7.053796410295944E+002,-9.758896981348545E+002,-3.292735517024994E-001,-3.985939919948578E-001,
2.930700000000000E+009,-7.415023339321650E+002,-3.570763542498145E+003,-3.338164389133453E-001,-3.743989467620850E-001,
2.942250000000000E+009,-1.113191199572083E+003,-7.156737818754319E+002,-3.323343098163605E-001,-3.572537004947662E-001,
2.953800000000000E+009,-2.911300155603141E+003,5.770713706635148E+002,-3.308680951595306E-001,-3.488033711910248E-001,
2.965350000000000E+009,-2.607460828954044E+003,3.614860890917041E+003,-3.351268172264099E-001,-3.510043323040009E-001,
2.976900000000000E+009,2.252749772636080E+002,1.636756006427591E+003,-3.484895825386047E-001,-3.534432351589203E-001,
2.988450000000000E+009,5.517167166745793E+003,4.092509303747976E+003,-3.708458244800568E-001,-3.483360111713409E-001,
3.000000000000000E+009,3.732897039491163E+003,-7.139413242270051E+002,-3.969055414199829E-001,-3.293735980987549E-001,
