Legend:

1-P =,Untitled... Process


Interval:,1,Seconds
59,4/5/2017,3:44:38 PM,76
60,4/5/2017,3:44:39 PM,76
61,4/5/2017,3:44:40 PM,76
62,4/5/2017,3:44:41 PM,76
63,4/5/2017,3:44:42 PM,76
64,4/5/2017,3:44:43 PM,76
65,4/5/2017,3:44:44 PM,76
66,4/5/2017,3:44:45 PM,76
67,4/5/2017,3:44:46 PM,76
68,4/5/2017,3:44:47 PM,76
69,4/5/2017,3:44:48 PM,76
70,4/5/2017,3:44:49 PM,76
71,4/5/2017,3:44:50 PM,76
72,4/5/2017,3:44:51 PM,76
73,4/5/2017,3:44:52 PM,76
74,4/5/2017,3:44:53 PM,76
75,4/5/2017,3:44:54 PM,76
76,4/5/2017,3:44:55 PM,76
77,4/5/2017,3:44:56 PM,76
78,4/5/2017,3:44:57 PM,76
79,4/5/2017,3:44:58 PM,76
80,4/5/2017,3:44:59 PM,76
81,4/5/2017,3:45:00 PM,76
82,4/5/2017,3:45:01 PM,76
83,4/5/2017,3:45:02 PM,76
84,4/5/2017,3:45:03 PM,76
85,4/5/2017,3:45:04 PM,76
86,4/5/2017,3:45:05 PM,76
87,4/5/2017,3:45:06 PM,76
88,4/5/2017,3:45:07 PM,76
89,4/5/2017,3:45:08 PM,76
90,4/5/2017,3:45:09 PM,76
91,4/5/2017,3:45:10 PM,76
92,4/5/2017,3:45:11 PM,76
93,4/5/2017,3:45:12 PM,76
94,4/5/2017,3:45:13 PM,76
95,4/5/2017,3:45:14 PM,76
96,4/5/2017,3:45:15 PM,76
97,4/5/2017,3:45:16 PM,76
98,4/5/2017,3:45:17 PM,76
99,4/5/2017,3:45:18 PM,76
100,4/5/2017,3:45:19 PM,76
101,4/5/2017,3:45:20 PM,76
102,4/5/2017,3:45:21 PM,76
103,4/5/2017,3:45:22 PM,76
104,4/5/2017,3:45:23 PM,76
105,4/5/2017,3:45:24 PM,76
106,4/5/2017,3:45:25 PM,76
107,4/5/2017,3:45:26 PM,76
108,4/5/2017,3:45:27 PM,76
109,4/5/2017,3:45:28 PM,76
110,4/5/2017,3:45:29 PM,76
111,4/5/2017,3:45:31 PM,76
112,4/5/2017,3:45:32 PM,76
113,4/5/2017,3:45:33 PM,76
114,4/5/2017,3:45:34 PM,76
115,4/5/2017,3:45:35 PM,76
116,4/5/2017,3:45:36 PM,76
117,4/5/2017,3:45:37 PM,76
118,4/5/2017,3:45:38 PM,76
119,4/5/2017,3:45:39 PM,76
120,4/5/2017,3:45:40 PM,76
121,4/5/2017,3:45:41 PM,76
122,4/5/2017,3:45:42 PM,76
123,4/5/2017,3:45:43 PM,76
124,4/5/2017,3:45:44 PM,76
125,4/5/2017,3:45:45 PM,76
126,4/5/2017,3:45:46 PM,76
127,4/5/2017,3:45:47 PM,76
128,4/5/2017,3:45:48 PM,76
129,4/5/2017,3:45:49 PM,76
130,4/5/2017,3:45:50 PM,76
131,4/5/2017,3:45:51 PM,76
132,4/5/2017,3:45:52 PM,76
133,4/5/2017,3:45:53 PM,76
134,4/5/2017,3:45:54 PM,76
135,4/5/2017,3:45:55 PM,76
136,4/5/2017,3:45:56 PM,76
137,4/5/2017,3:45:57 PM,76
138,4/5/2017,3:45:58 PM,76
139,4/5/2017,3:45:59 PM,76
140,4/5/2017,3:46:00 PM,76
141,4/5/2017,3:46:01 PM,76
142,4/5/2017,3:46:02 PM,76
143,4/5/2017,3:46:03 PM,76
144,4/5/2017,3:46:04 PM,76
145,4/5/2017,3:46:05 PM,76
146,4/5/2017,3:46:06 PM,76
147,4/5/2017,3:46:07 PM,76
148,4/5/2017,3:46:08 PM,76
149,4/5/2017,3:46:09 PM,76
150,4/5/2017,3:46:10 PM,76
151,4/5/2017,3:46:11 PM,77
152,4/5/2017,3:46:12 PM,77
153,4/5/2017,3:46:13 PM,77
154,4/5/2017,3:46:14 PM,77
155,4/5/2017,3:46:15 PM,77
156,4/5/2017,3:46:16 PM,77
157,4/5/2017,3:46:17 PM,77
158,4/5/2017,3:46:18 PM,77
159,4/5/2017,3:46:19 PM,77
160,4/5/2017,3:46:20 PM,77
161,4/5/2017,3:46:21 PM,77
162,4/5/2017,3:46:22 PM,77
163,4/5/2017,3:46:23 PM,77
164,4/5/2017,3:46:24 PM,77
165,4/5/2017,3:46:25 PM,77
166,4/5/2017,3:46:26 PM,77
167,4/5/2017,3:46:27 PM,77
168,4/5/2017,3:46:28 PM,77
---------------------------------------------------------------------------------

