 >Target_shape 1
     816 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  0.50000  0.50000 0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
       56 -1 13 1 1 1 1
       57 -1 13 2 1 1 1
       58 -1 13 3 1 1 1
       59 0 13 -4 1 1 1
       60 0 13 -3 1 1 1
       61 0 13 -2 1 1 1
       62 0 13 -1 1 1 1
       63 0 13 0 1 1 1
       64 0 13 1 1 1 1
       65 0 13 2 1 1 1
       66 0 13 3 1 1 1
       67 1 13 -4 1 1 1
       68 1 13 -3 1 1 1
       69 1 13 -2 1 1 1
       70 1 13 -1 1 1 1
       71 1 13 0 1 1 1
       72 1 13 1 1 1 1
       73 1 13 2 1 1 1
       74 1 13 3 1 1 1
       75 2 13 -3 1 1 1
       76 2 13 -2 1 1 1
       77 2 13 -1 1 1 1
       78 2 13 0 1 1 1
       79 2 13 1 1 1 1
       80 2 13 2 1 1 1
       81 3 13 -2 1 1 1
       82 3 13 -1 1 1 1
       83 3 13 0 1 1 1
       84 3 13 1 1 1 1
       85 -4 14 -3 1 1 1
       86 -4 14 -2 1 1 1
       87 -4 14 -1 1 1 1
       88 -4 14 0 1 1 1
       89 -4 14 1 1 1 1
       90 -4 14 2 1 1 1
       91 -3 14 -4 1 1 1
       92 -3 14 -3 1 1 1
       93 -3 14 -2 1 1 1
       94 -3 14 -1 1 1 1
       95 -3 14 0 1 1 1
       96 -3 14 1 1 1 1
       97 -3 14 2 1 1 1
       98 -3 14 3 1 1 1
       99 -2 14 -4 1 1 1
       100 -2 14 -3 1 1 1
       101 -2 14 -2 1 1 1
       102 -2 14 -1 1 1 1
       103 -2 14 0 1 1 1
       104 -2 14 1 1 1 1
       105 -2 14 2 1 1 1
       106 -2 14 3 1 1 1
       107 -1 14 -4 1 1 1
       108 -1 14 -3 1 1 1
       109 -1 14 -2 1 1 1
       110 -1 14 -1 1 1 1
       111 -1 14 0 1 1 1
       112 -1 14 1 1 1 1
       113 -1 14 2 1 1 1
       114 -1 14 3 1 1 1
       115 0 14 -4 1 1 1
       116 0 14 -3 1 1 1
       117 0 14 -2 1 1 1
       118 0 14 -1 1 1 1
       119 0 14 0 1 1 1
       120 0 14 1 1 1 1
       121 0 14 2 1 1 1
       122 0 14 3 1 1 1
       123 1 14 -4 1 1 1
       124 1 14 -3 1 1 1
       125 1 14 -2 1 1 1
       126 1 14 -1 1 1 1
       127 1 14 0 1 1 1
       128 1 14 1 1 1 1
       129 1 14 2 1 1 1
       130 1 14 3 1 1 1
       131 2 14 -4 1 1 1
       132 2 14 -3 1 1 1
       133 2 14 -2 1 1 1
       134 2 14 -1 1 1 1
       135 2 14 0 1 1 1
       136 2 14 1 1 1 1
       137 2 14 2 1 1 1
       138 2 14 3 1 1 1
       139 3 14 -3 1 1 1
       140 3 14 -2 1 1 1
       141 3 14 -1 1 1 1
       142 3 14 0 1 1 1
       143 3 14 1 1 1 1
       144 3 14 2 1 1 1
       145 -4 15 -3 1 1 1
       146 -4 15 -2 1 1 1
       147 -4 15 -1 1 1 1
       148 -4 15 0 1 1 1
       149 -4 15 1 1 1 1
       150 -4 15 2 1 1 1
       151 -3 15 -4 1 1 1
       152 -3 15 -3 1 1 1
       153 -3 15 -2 1 1 1
       154 -3 15 -1 1 1 1
       155 -3 15 0 1 1 1
       156 -3 15 1 1 1 1
       157 -3 15 2 1 1 1
       158 -3 15 3 1 1 1
       159 -2 15 -4 1 1 1
       160 -2 15 -3 1 1 1
       161 -2 15 -2 1 1 1
       162 -2 15 -1 1 1 1
       163 -2 15 0 1 1 1
       164 -2 15 1 1 1 1
       165 -2 15 2 1 1 1
       166 -2 15 3 1 1 1
       167 -1 15 -4 1 1 1
       168 -1 15 -3 1 1 1
       169 -1 15 -2 1 1 1
       170 -1 15 -1 1 1 1
       171 -1 15 0 1 1 1
       172 -1 15 1 1 1 1
       173 -1 15 2 1 1 1
       174 -1 15 3 1 1 1
       175 0 15 -4 1 1 1
       176 0 15 -3 1 1 1
       177 0 15 -2 1 1 1
       178 0 15 -1 1 1 1
       179 0 15 0 1 1 1
       180 0 15 1 1 1 1
       181 0 15 2 1 1 1
       182 0 15 3 1 1 1
       183 1 15 -4 1 1 1
       184 1 15 -3 1 1 1
       185 1 15 -2 1 1 1
       186 1 15 -1 1 1 1
       187 1 15 0 1 1 1
       188 1 15 1 1 1 1
       189 1 15 2 1 1 1
       190 1 15 3 1 1 1
       191 2 15 -4 1 1 1
       192 2 15 -3 1 1 1
       193 2 15 -2 1 1 1
       194 2 15 -1 1 1 1
       195 2 15 0 1 1 1
       196 2 15 1 1 1 1
       197 2 15 2 1 1 1
       198 2 15 3 1 1 1
       199 3 15 -3 1 1 1
       200 3 15 -2 1 1 1
       201 3 15 -1 1 1 1
       202 3 15 0 1 1 1
       203 3 15 1 1 1 1
       204 3 15 2 1 1 1
       205 -4 16 -3 1 1 1
       206 -4 16 -2 1 1 1
       207 -4 16 -1 1 1 1
       208 -4 16 0 1 1 1
       209 -4 16 1 1 1 1
       210 -4 16 2 1 1 1
       211 -3 16 -4 1 1 1
       212 -3 16 -3 1 1 1
       213 -3 16 -2 1 1 1
       214 -3 16 -1 1 1 1
       215 -3 16 0 1 1 1
       216 -3 16 1 1 1 1
       217 -3 16 2 1 1 1
       218 -3 16 3 1 1 1
       219 -2 16 -4 1 1 1
       220 -2 16 -3 1 1 1
       221 -2 16 -2 1 1 1
       222 -2 16 -1 1 1 1
       223 -2 16 0 1 1 1
       224 -2 16 1 1 1 1
       225 -2 16 2 1 1 1
       226 -2 16 3 1 1 1
       227 -1 16 -4 1 1 1
       228 -1 16 -3 1 1 1
       229 -1 16 -2 1 1 1
       230 -1 16 -1 1 1 1
       231 -1 16 0 1 1 1
       232 -1 16 1 1 1 1
       233 -1 16 2 1 1 1
       234 -1 16 3 1 1 1
       235 0 16 -4 1 1 1
       236 0 16 -3 1 1 1
       237 0 16 -2 1 1 1
       238 0 16 -1 1 1 1
       239 0 16 0 1 1 1
       240 0 16 1 1 1 1
       241 0 16 2 1 1 1
       242 0 16 3 1 1 1
       243 1 16 -4 1 1 1
       244 1 16 -3 1 1 1
       245 1 16 -2 1 1 1
       246 1 16 -1 1 1 1
       247 1 16 0 1 1 1
       248 1 16 1 1 1 1
       249 1 16 2 1 1 1
       250 1 16 3 1 1 1
       251 2 16 -4 1 1 1
       252 2 16 -3 1 1 1
       253 2 16 -2 1 1 1
       254 2 16 -1 1 1 1
       255 2 16 0 1 1 1
       256 2 16 1 1 1 1
       257 2 16 2 1 1 1
